path,pitch,MFCCs,range_label,gender_label
D:/Hoc/CSDL DPT/wav/41-60_Nam_1.wav,"[225.47175690584362, 23.719416307946183, 167.2106416577019, 270.06998923363795]","[-315.3973429281103, 115.84705454082454, -28.802093195921618, 7.552603566337803, -1.6985455098773925, 10.491630385417187, -20.978504931680412, -15.70587658375471, -18.870630036347553, -7.588367717385721, -11.074750846529598, -12.388978904767702, -5.082009847178115, -11.747248908908967, -9.671021022051594, -8.442872430193736, -6.426757862703497, -10.972543345348052, -5.602042304151403, -9.842948610476194, 0.5380695388361464, 0.3231920558125199, -0.07365007893321038, -0.07178798153807275, 0.019944829798129903, 0.056285386148114215, -0.01116401236733121, -0.012974127761660436, -0.01335023560013722, -0.009589086992314312, 0.012533597473155276, 0.045225643539648634, 0.01016179360357717, -0.04806697381935598, -0.002296701213149548, 0.03880889656734856, 0.016390565862257542, -0.025880109061391647, 0.015312974818326169, 0.008071824842098256, -0.1556947050182781, -0.07322713333936409, 0.06706383863855092, 0.03804585417474381, -0.027307965400397233, -0.05087520046341224, 0.041169729860577875, 0.06005972177320536, 0.0316464623307098, 0.0229696161774766, 0.023141854592268883, 0.014749958172243508, 0.02073177252045966, 0.03580205654899616, 0.008477523017153318, -0.003878449912736439, 0.00864657985708377, 0.03197800225366925, 0.028390612148914144, 0.020470334239464708, 99.6291193041671, 38.222471700550585, 34.03636218173387, 26.511612850480716, 20.068925905522573, 21.392678580314424, 14.273541147132402, 13.571835675103902, 11.84303391206344, 9.44620537693151, 8.307576842232903, 9.093039665230577, 10.024460228191764, 9.36159484739886, 7.227677079722333, 7.730469507634585, 7.016239822417183, 8.789203807753788, 6.550592769254561, 6.372619744776232, 11.147570191009969, 7.353395751141213, 4.832253346860065, 4.223848014186686, 3.0407495102045217, 2.62832687902714, 2.231245938937331, 2.236867725203392, 1.5707685089691232, 1.6984390918260492, 1.597224587604256, 1.4875769967527568, 1.1668883175466305, 1.3084786722154542, 1.1466348444612158, 1.2860718061956742, 1.0920575175349008, 1.2233294383451374, 1.1807886627395505, 0.9968959954540385, 5.665153694784471, 3.20918829261194, 2.4102406346513283, 2.11523261278812, 1.8770663420501668, 1.302209968907439, 1.0881730356959785, 1.3320015053490333, 1.1000139754488751, 0.9182424782169737, 0.9187210834443064, 0.8891742377303572, 0.8409895647630662, 0.8889996847248011, 0.6515170704481261, 0.7450758851911601, 0.6545666818235542, 0.7761094594269369, 0.7544346002783747, 0.63525288704277]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_10.wav,"[198.32934281122803, 34.85389768179795, 143.06459324352582, 276.38257599355524]","[-353.20307582200644, 103.75479582481222, -11.708072420399317, 13.829322879648245, 6.452126615350447, 8.46815199249889, -9.762702566266256, -11.416758824933572, -12.51406602876314, -9.264748840163707, -13.151572897531622, -13.827805798018888, -7.70695482025365, -13.416817189986384, -13.313322343590489, -6.978071722383554, -4.329267577108586, -7.002116766817689, -5.177130277155957, -8.554224881040431, -0.6090726601182325, -0.484459065490375, -0.024332906854103522, -0.027620001910698477, -0.047837900915681936, -0.027665398250902452, 0.008155887600351425, 0.07024630647401164, 0.07371348180157623, 0.08224623192400002, 0.0482745567724124, 0.02497473696182043, 0.018045638156048916, 0.08646710880693914, 0.06155128052340142, 0.005626591913835672, 0.03314019726642037, 0.01535258777483226, 0.004883364240745771, 0.0344721225640524, -0.09931443844842848, 0.0346030565737881, 0.06978660235611896, -0.019605236334615233, 0.0019218748739171768, -0.014858017919552968, 0.008165740780316387, 0.0008297720503512915, 0.0008426260475585242, -0.005871070367936497, 0.00868032603028207, 0.02119413172250691, 0.004072340667363323, 0.007141612218831581, -0.006085993420202258, 0.0029805078151562345, 0.002652622388381023, 0.002948375268626744, 0.00993362461999818, -0.01687015616758054, 98.1914836729177, 39.98190017563024, 32.95594231204695, 25.303764756873864, 18.90524280242961, 16.133254769790504, 11.607928211932116, 11.137888090308955, 10.575611280773629, 10.180674832622536, 9.116820411569135, 9.124769831736181, 5.721331854788526, 7.465215005368571, 7.247811863603543, 6.08029253883842, 6.763190532538027, 6.030266343055697, 5.880174305257234, 6.315693304726271, 8.294535300263401, 6.0169713753582785, 4.080900311283831, 3.2200541237425955, 2.7413942160015847, 2.1939603631770885, 1.8758893621005126, 1.6640517478383083, 1.728877372211198, 2.0442480095027697, 1.2320317519134325, 1.2460780864489016, 0.8792934950331611, 1.103014190542844, 1.1083559858280192, 1.0116955651906714, 1.100035888180862, 1.032664557749931, 0.903825164137653, 0.9104506951814957, 3.4868680570560597, 2.364453544103652, 1.4656532544154623, 1.4255955562594007, 1.3090633807817795, 0.9962268691600178, 1.009066674088463, 0.961951603074496, 1.006441642455202, 1.0041151751620672, 0.7578489710699948, 0.8260204189172665, 0.6692382077752065, 0.7611340120033846, 0.680995050288518, 0.6211539367591199, 0.657394994321376, 0.6041748130583753, 0.6191815069724634, 0.6286973049690573]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_11.wav,"[214.40034480738873, 38.49133463739339, 156.91681957935012, 294.5134116201051]","[-331.03892036415556, 98.17116603276472, -14.548541265422841, 25.614094225100015, -9.240638601402553, 9.918278683576204, -16.01322145453899, -6.129268920268366, -15.84328818596832, -8.644998821597484, -12.310248585909884, -14.840910346677731, -7.590758570649767, -12.564747003046302, -9.79972442908996, -10.680117079157982, -6.209060947083217, -9.388249105257282, -2.9941836799090575, -9.067035845430986, -0.3276488483753363, -0.27274962530713087, -0.040793253900915594, -0.031258365077437324, -0.047942787197415376, -0.017823060682521978, 0.006504866561061646, 0.01949396927805849, 0.01282577413352978, -0.006340800416214694, 0.0073550919194066994, 0.03758912472145176, 0.030579838883612008, 0.017361406461503793, 0.021056005839254082, 0.02777774896105256, 0.025648057302078944, 0.009392784457195939, 0.0012056256452749679, 0.003955379646512243, 0.06155083651905281, 0.03701133480222235, 0.004038835704088813, 0.022497896148698102, 0.011839066039889592, 0.010255889952118227, 0.017139428365850973, 0.007019802969162326, 0.0016445265239721403, 0.003749886190402366, -0.006779315800109373, -0.013994028128960048, 0.001099951895674719, 0.0038924395193410473, -0.0031854242917993365, 0.0002205639737651609, 0.004252683347877227, 0.004512527780625833, 0.0009896415304384582, 0.004732891970561922, 102.51242485824417, 42.61389088377958, 26.087313816204453, 30.858318250539785, 25.899739979541533, 16.1467364049922, 13.655470933637176, 14.63115327424618, 10.525250647437097, 9.793009305375298, 10.724723483294682, 8.750050018115346, 8.404488054268754, 8.56808795119047, 6.621541064518148, 7.368622653898842, 5.939792912104086, 7.145575900464924, 6.117796666423686, 6.802607011559372, 12.203645998577068, 8.375128345265543, 3.9429337409300316, 5.008709564955783, 3.7108157842289264, 2.581475650636518, 1.979425656542892, 2.30613768252292, 1.5826585174303895, 1.8902592005533145, 1.9112237348992867, 1.3238851292703429, 1.3465028887985349, 1.2964038413825743, 1.227986798358914, 1.121349851002126, 1.1544323859910826, 1.064755274505014, 1.1201617695223764, 0.8933048014940569, 5.935841788104115, 3.8650901798380137, 2.108776449727297, 2.6110717192643875, 1.8449109254677702, 1.274955914931466, 1.2322265114326705, 1.1764350677170026, 0.9990193598037782, 1.086216239433324, 1.0124869645100598, 0.8258809083927477, 0.8990090333362742, 0.8161570369731981, 0.8158540872172856, 0.7102465631250352, 0.8102059001460699, 0.6484255215140385, 0.743090168206522, 0.6492751290162727]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_12.wav,"[190.5413779252544, 15.320801704351936, 155.11447618337345, 225.79288096122622]","[-333.4816940048786, 136.53535824974716, -18.548076396096306, 16.503979103697624, -2.3273334387015923, 3.967467897535352, -16.350586467225575, -4.574383887856561, -16.646162931497145, -14.750037173306836, -15.102762067471499, -13.006473296564108, -4.271432058874673, -13.12060238436424, -9.992910125426338, -9.36871923152242, -11.003888669367239, -11.424013781476148, -1.821784735631354, -8.940621513075799, -0.5863238016379569, -0.3049899897366282, -0.037907254700193335, -0.0666828147837917, -0.04881871270559929, -0.007099944468886986, 0.012298698372424881, 0.02438543371609678, 0.025752607006077455, 0.007855176250444827, 0.00965227364968144, 0.03809145324725659, 0.028593688336472606, 0.012552111072217091, 0.02970581398911478, 0.02650664309425133, 0.009295450250890196, 0.014990050163144381, 0.012334403197507051, -0.00568081100216749, 0.09636890225429108, 0.0009650728924905751, 0.03005014463275676, 0.013329057279957092, 0.006236864240109192, 0.012716024222663882, -0.0006818782473027197, 0.011986793135205821, 0.033701175092835885, 0.015409203582554242, -0.0045040995318180455, 0.007798306679940806, 0.007355861072002715, 0.0001390094116778248, 0.007453191419787777, 0.011838960003705042, 0.003769651702493793, 0.003575448307337921, 0.012121673752210809, 0.005572807336036275, 86.35966530878645, 45.03041217857259, 25.648560292712613, 29.599715252693723, 18.078810225354637, 17.886271517159273, 15.858479965698168, 10.802147750202458, 14.496842202568674, 11.446411170534837, 12.28428114822948, 8.312441633979969, 8.805525764544056, 9.061417914920161, 7.940285316112168, 8.121213144591454, 6.864642169052406, 8.321056698293578, 8.084842712053824, 6.425809471336909, 12.900994911559243, 7.400503173572927, 4.36675201415915, 4.663276456030104, 3.2086924356395268, 2.330260577375382, 2.443535870812061, 1.7432428247328258, 2.0463063298701463, 1.6665568757901403, 1.9113018067028382, 1.2646103108503368, 1.5619119927494933, 1.4234621732950157, 1.4253413795434589, 1.5320251057952319, 1.239485712705478, 1.4996669668946148, 1.3507788640555403, 1.028433523537877, 6.669036399814886, 3.603200208701763, 2.3262066115497166, 2.331149870684534, 1.6348559197242596, 1.2694950445804303, 1.2628867466627611, 1.0421395719794837, 1.1570255460527088, 1.0403983698576165, 1.060640339734778, 0.7919378212775037, 0.9289791954157882, 0.8091998058755545, 0.8536985544374455, 0.9193814792418451, 0.7865566040964158, 0.8224557899244547, 0.8370609155143864, 0.6619174270113529]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_13.wav,"[216.95823570874475, 30.175486144391062, 154.22108254079407, 281.2136583244699]","[-321.8148009256787, 113.00942203397523, -19.600370147680227, 23.359919084547748, -9.64370375174924, 5.243484788395612, -15.691589626388243, -4.458501257593008, -13.996569360215375, -7.784386640710099, -15.89074920228581, -18.19941274886241, -9.252623223020947, -14.82470903329402, -8.859617906816784, -9.873736752188075, -9.163985738951656, -10.287782466992006, -2.2892837556735413, -8.439930142049182, -0.6639296646665961, -0.4326662851789408, -0.04478669125148616, -0.10394587300404833, -0.12835138518987843, -0.09343523716529753, -0.005863351226295496, 0.05041510198566738, 0.031673001022045906, 0.04826198066373268, 0.04906533858133455, 0.07261884754270279, 0.06945233944675261, 0.050975655770143145, 0.0708299034537893, 0.03335994050414575, 0.03283784656485955, 0.02926100023062192, -0.014611503655158824, -0.0019964010873781096, -0.01457134076436143, -0.017077881123465647, 0.04645434858158341, 0.04047698532498818, 0.05294557096523932, 0.012825411782326213, 0.010985827093390127, 0.007775783853386694, -0.01944820848085459, 8.318421059718148e-05, -0.0036687545780205266, 0.00035507306250542815, -0.023780023078373104, -0.023879879520426986, 0.016564285735105357, 0.007845298330201152, 0.000286139621646015, 0.0042029815547551625, 0.0013039438161889518, 0.001530024745863689, 82.66711016776358, 50.354002776878325, 25.427984816578036, 33.32009757581404, 24.342114644619272, 17.534226574038566, 15.571094225863384, 13.818493104870416, 12.10676142179406, 11.371067230510459, 8.585977684501835, 8.794655890163815, 8.586207606361283, 9.097384802017684, 6.942559807690513, 7.414105915312, 7.923753047055229, 7.668809035211, 7.294364647985986, 6.111411656595845, 12.696342599906652, 9.53903719271809, 4.337371973702445, 5.142282681682592, 4.224461539468739, 2.912226409578658, 2.200942063129451, 2.641837787045033, 2.1938719448756334, 1.9862991076960292, 1.5655956648413771, 1.4313064235758282, 1.6438349552333034, 1.5285216142673348, 1.1163020617735386, 1.2541048279583362, 1.4925884984778404, 1.1826260076769257, 1.2333591494956047, 1.0024319930620418, 6.5236680166183705, 3.753716894970793, 2.189749055400162, 2.3478208666273144, 1.937341400853581, 1.3956867010343943, 1.1993603703335667, 1.344753202837133, 1.2970420864959273, 1.1339444689823124, 0.9431818863420036, 0.8560943045555127, 1.0205143435171051, 0.9272721082800672, 0.7570911186102992, 0.7394411031393842, 0.9047507704367356, 0.7386396141759232, 0.8163311973605586, 0.802331446132174]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_14.wav,"[197.51537914777907, 24.814731846384745, 155.11447618337345, 273.20805135087915]","[-304.08724146526316, 143.991666086523, -11.885514451799288, 15.285537006844615, -15.402242394754976, 1.7379319262623052, -21.041580201728273, -7.513113452156389, -19.325270783666525, -14.049473109501026, -16.182122632938704, -18.780609393817848, -6.98312030400445, -14.735280808432929, -10.85885465691606, -11.004453285544965, -9.55878876277742, -9.568914650186779, -5.2663045404221345, -11.060389689142303, -0.7424237810350074, -0.37906049184222274, 0.035787871593071605, 0.008531211410137893, 0.035725657677470615, -0.034551046351661396, 0.018166836916017167, 0.03160097485909242, 0.04459104510579447, 0.08797772679935327, 0.03154336367472691, 0.008446121708978281, 0.02814621974840971, 0.018249500105233997, 0.03219933022481964, 0.05093684175775029, 0.01898714017115682, -0.0015678577298483022, 0.006388474078014578, 0.01878833148123883, -0.06562834650673402, -0.04805041166329025, 0.015411006161126143, 0.00875416893634019, 0.035089183239362026, 0.019108942140666905, 0.03464146196896157, -0.008733761914857448, -0.023990471014794314, -0.00578871076659867, 0.016413168406008583, 0.00859277472344826, -0.004979597742919755, -0.013268547050130973, -0.006932074878916339, -0.00027536465492770864, 0.017554251755615327, 0.026134032678517344, -0.010988552332074878, -0.0027348174671222654, 74.0985538864491, 42.555708212203214, 20.42344902459158, 25.421785914604865, 25.58031557172908, 18.670564510949536, 13.146359931777782, 13.721591953590389, 12.674459985278594, 10.861287120409528, 11.212521359115144, 9.849020769887833, 10.326532644093328, 9.475589430734942, 9.403470530796652, 8.835083574768992, 7.455772623998317, 7.663076472564008, 7.336303075862481, 6.2283308743554695, 11.408548759207147, 8.048728750612922, 4.173244972220737, 4.519134394903511, 3.78852305918201, 3.3749260730313195, 2.2970605081462705, 2.5394619947324637, 1.9686213615160792, 1.9757109903758225, 2.2603585769382595, 1.6676794476326282, 1.9786335640240635, 1.7118676917916058, 1.4283054497572725, 1.6151423243000353, 1.4137926929406595, 1.3380616648447548, 1.3293323402627752, 1.260544758959657, 6.325527887021229, 3.6363317422341335, 2.6263133042079057, 2.04656758968434, 1.9503401326353234, 1.6906950794205158, 1.2630203318690967, 1.3973818804288127, 1.163592943076171, 1.1840139217940056, 1.2109196683204804, 1.0173909457525283, 1.1888112395151396, 1.0478135746138877, 0.9185070201730174, 1.075923512758159, 0.9516549342475011, 0.8008671170954729, 0.9174596946830476, 0.7630591764930688]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_15.wav,"[206.05993438611088, 36.57677973406763, 147.25670581005258, 294.5134116201051]","[-321.31518907958656, 110.76908611219689, -8.611205921346377, 29.394051037060496, -10.15659590390591, 7.09673259294323, -16.866621842927767, -5.7754783474157, -16.699452808123223, -14.669386241187475, -19.3236433831998, -14.101259958142759, -3.9556512469779155, -15.708172323029014, -11.226024328652915, -10.110774802792985, -5.799657172237643, -8.434904003049658, -4.090682699688725, -10.419013361859156, -0.3654429005404685, -0.35223943766195454, -0.0848069687621075, -0.003000792330050832, -0.03900642239077989, -0.021386241362928462, 0.01741765558861621, 0.010066674248736059, 0.008277515457691828, 0.02952394771730234, 0.037385881034766595, 0.029951787914668702, 0.011848988238610978, 0.0016356483283594613, 0.008790664108001155, 0.01268813864954565, 0.018989409522677827, 0.025707109633354645, 0.01146572232059166, -0.005211739854391478, 0.023580409199341148, 0.03548648965808086, 0.032791057494834464, 0.015389657044974536, 0.00026829683731617224, 0.002415614247205207, 0.010977546394086518, 0.014949187889704106, 0.003134378223948859, -0.018696175165557213, -0.020609770373092657, 0.0011927581259753108, 0.013107323995429396, 0.00438690996530399, 0.003783603433404193, 0.00843837940020837, -0.0007604841587185708, -0.0027211007089613225, 0.007226354513900326, 0.007681642857996981, 83.45189630184998, 47.35529518214256, 23.432762772374264, 32.888912347606286, 21.285992069263358, 20.507350772531993, 16.602009400133525, 12.77423062046495, 10.644830286241397, 9.143346379740445, 9.865017038028387, 8.01625266795571, 8.129447235808371, 8.317146048621321, 7.624779650528461, 8.087363096524578, 7.608525130250203, 7.692794812999107, 6.482089231548191, 6.532322097834225, 9.51707291826271, 8.959107431969505, 3.6902777795980986, 5.2583488636822695, 2.9945343357986713, 3.0146186824399974, 2.3572394623252655, 2.3087397274428065, 1.5214815269747297, 1.7983534257482237, 1.8757759646483494, 1.3648911024506742, 1.379771199026717, 1.4267659598675113, 1.1625312960289678, 1.4555322129622175, 1.265985044661572, 1.1941462534908809, 1.0419221897383106, 1.0232418341919391, 4.885714709278796, 4.50723268653308, 2.1142716110490216, 2.664878929523699, 1.644055550065112, 1.4586264998388507, 1.331565266349279, 1.286447406261254, 0.9416001537621006, 1.0853540625709628, 1.0874321739966128, 0.8607874867961344, 0.9224722844607957, 0.8823071835140107, 0.777745266585871, 0.925242132630804, 0.9116133110383425, 0.8107296369197625, 0.7038004639916953, 0.7190956742786561]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_16.wav,"[208.14674117626117, 42.916587189528066, 129.68395546510095, 319.31935454265994]","[-313.9688276481614, 129.08763351980193, -14.044277908562021, 11.24152846244735, -8.864112378437964, 10.766331895504637, -15.383384491445844, -8.493284970453505, -15.777048957527075, -15.78706374090094, -17.52019995056644, -13.665045610325416, -9.065403233054033, -14.045266588194549, -9.782631383160025, -9.734656724827408, -7.177677992552287, -8.456921161552337, -2.178167951540336, -9.248294752072303, -0.7764299282517975, -0.4292117238321337, 0.07573345310499575, 0.019733451411041072, 0.038708570817762744, -0.03165690704944298, 0.020262897252334724, 0.03334830315984316, 0.055418351968992134, 0.020721651859667508, -0.017792670541533964, 0.021979571558405683, 0.041361286558511935, 0.03693030418315709, 0.01243307354947775, -0.00326456237410088, 0.006369425709058141, 0.01736082424515013, 0.015346833771652565, 0.01826976399570639, -0.05089872112774294, -0.027998879608219705, -0.015098226792310716, 0.003993307216898208, 0.02290716152094403, 0.03217309589292788, 0.04168482048137119, -0.013670181563307288, -0.001529084750495557, 0.01946072487680022, 0.04209284643164759, 0.033072182644478754, -0.023609122094431126, -0.009160491246574903, 0.0014813250939280122, -0.0013871810111586104, 0.019633378191237807, 0.01856411948813033, -0.0029145408900887633, 0.003390845879927785, 84.94177955400741, 46.431300050698866, 28.504864424367476, 30.13933922959789, 21.88419259580522, 22.05844609793776, 15.469473490276583, 15.636106746776663, 13.462876135224011, 12.791472339177952, 11.306629841671072, 8.5661036137543, 8.443866227040152, 8.1668964517097, 6.684978804173184, 8.587061459052688, 7.213995951086502, 8.034484784471013, 6.802318201166899, 8.144036788474159, 11.397388852915883, 6.8021572717127325, 4.384607270031303, 3.7166443520847823, 2.778252914278691, 2.8454791841239806, 2.3405189885877955, 2.293690083180249, 2.0490186146630753, 1.9640481538099506, 1.9570219814360175, 1.506754929670952, 1.5392598523817818, 1.4043233893318445, 1.1939756629951643, 1.4780424918580848, 1.2121759343222096, 1.2895394220194736, 1.1857780478570508, 1.192799666498028, 5.669436636443508, 3.1971364187128684, 2.0564550672388306, 1.7375939714069084, 1.48544505660517, 1.533871813446939, 1.2414093511353819, 1.0800184479646966, 1.133627934328841, 1.000099996180224, 1.0348747949133055, 0.8918752894655539, 0.957185779643637, 0.7932029907999512, 0.8189709577454961, 0.8742491769639087, 0.7491600110223874, 0.7522658509320387, 0.75970410608095, 0.7052642429303556]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_17.wav,"[170.42214297603127, 36.98585760151928, 121.7003513670591, 263.9015821545788]","[-374.10398595481126, 134.1562005789404, -7.8732858496446685, 13.649151625314607, -0.7844955350877039, 5.891881845284882, -12.060988638555193, -7.057903528442586, -14.345215085014745, -11.064960533045918, -10.556954733790926, -12.16976109570457, -7.7890966647517565, -12.034032728705478, -7.7313272537503295, -6.690956195584633, -6.559786680974358, -9.263372021266585, -5.233709836211382, -6.586780702066518, -0.466230731201634, -0.2454334621014463, -0.018478628506156614, -0.040169187098421356, -0.04885379538799527, -0.042731847314368895, -0.01699227565343786, 0.012567263561456281, 0.027372848509406886, 0.027265648918266196, 0.021922354293069417, 0.02161367034786749, 0.024745024173742317, 0.026181654804530285, 0.027189098541246008, 0.025315274089990646, 0.016723639510256526, 0.0014427533222024062, -0.004356934635398803, 6.937207348743591e-06, 0.01964524814153207, -0.05644525600379886, 0.010416312519145406, 0.01112282715214615, -0.0015545427817087285, 0.01265029937282658, 0.00730958680870883, 0.013343029366367326, 0.013958200807847076, 0.014526913179096107, 0.008343650983808137, -0.0015437882829316748, 0.007462905841017899, 0.011248140927363854, 0.009419984933259243, 0.006904004860702539, -0.004001347614355446, -0.006530030454762603, -0.00830179555770915, -0.01165927511006444, 77.40353986707989, 47.493130754564326, 26.092428757196632, 23.82831891309326, 18.258904651889186, 18.058884578770417, 12.210995254090454, 12.148986246617513, 9.930766496082851, 10.145436733351547, 8.955155719535005, 7.722906526354947, 7.682248968525552, 10.128347471866864, 7.6152131571509365, 7.41434085807895, 5.859765769148455, 7.775564955926305, 6.6531835660630465, 5.7093726695620175, 12.859822759371022, 8.988849295369404, 4.3152656002681695, 4.346071398878296, 2.719275605228367, 2.9310433728243126, 2.320370194786709, 2.222419816136135, 1.944310359351816, 1.923994065607254, 1.7891188378107523, 1.6239186935377776, 1.3901397240250946, 1.65101100174272, 1.2384586298756015, 1.2448761524061467, 1.1660440784541337, 1.3014667060062257, 1.1993538212089954, 1.0436366876394687, 6.772239380647729, 4.315319706233844, 2.4543983066661132, 2.2926718663092402, 1.6840923489763806, 1.4812553521560838, 1.1363860841574722, 1.1245299881108823, 1.0938590214479007, 1.1224806139312862, 1.0264325154815637, 0.9612226365556401, 0.8962655699826539, 1.0534913599671567, 0.7833484963765845, 0.7898687874062065, 0.8163728432308622, 0.7612186371129799, 0.7239400886366852, 0.6832367000500869]",41-60,Nam
D:/Hoc/CSDL DPT/wav/41-60_Nam_18.wav,"[206.7057014786338, 44.05215791230613, 114.20823393107715, 306.66566893392013]","[-303.44534701797227, 115.6344568056409, -17.574526847867435, 13.730446102657812, -3.7313692268200556, 11.25170522072562, -17.798210865580028, -14.675161227127365, -16.76425955511915, -8.55827038863674, -11.38923410829423, -13.226901155303043, -7.961341338034699, -13.295864584610682, -10.80057311564714, -10.638243031517982, -8.942854808188532, -9.973410938966458, -3.280865214500064, -9.594054083792317, -0.7661771100207876, -0.4650373567889762, 0.022358496839106373, -0.07628761095714506, -0.057435628840157335, -0.04547923437055662, 0.062172426701155435, 0.07703388665212024, 0.031734285567963566, 0.05219674740003452, 0.049288702117383495, 0.04047577279488338, 0.08116918757316616, 0.08490868929495345, 0.004327449338789021, 0.016097677469650698, 0.05546032638188607, 0.025332456584274715, -0.0032995153095229414, 0.013345002195264424, 0.06525434226935214, 0.06373365763798762, -0.019560623469957867, -0.030895488012284398, 0.018978458602434432, 0.01996353392056246, 0.001312872980335713, -0.05073711282785537, -0.031082871883438112, 0.008411363649090847, 0.016061753489342037, 0.03102317393755791, 0.009074042315870714, 0.010828520625104608, -0.007217256848604371, 0.005098532918257819, 0.0006059426473349841, -0.009868492860444552, 0.025596924580861612, -0.0014497449083608473, 99.98384265543429, 41.01272925154448, 27.711424230176384, 26.15858329480037, 22.210165531148057, 16.035105943109336, 13.36955571178186, 14.050671838618653, 14.012574471740184, 8.232975004846791, 10.492802609845652, 9.219388766309992, 8.203996516730857, 8.75751078239392, 6.474267028875974, 7.509194636985643, 7.165535686455357, 6.834039822570205, 5.68526689106831, 6.725382717686659, 8.289428927860051, 7.026933020115541, 4.235986420899835, 3.9889371678863528, 2.9539991459516446, 2.7433497115116596, 1.9281255253771605, 2.5858621361478846, 1.9765069570407081, 1.4428430068570683, 1.4639191190892273, 1.3347961846084033, 1.4644965817228246, 1.3334451651074242, 1.0684643879890088, 1.1910067143535137, 1.3254609620565094, 1.0882456720340794, 0.9633456293798005, 1.1824232404880255, 4.32566281226888, 2.9133550745968173, 2.3983725270128122, 1.886592604982794, 1.5995918129547178, 1.4456668667039327, 1.1009604895030423, 1.3560272370214181, 1.2098663626149153, 0.9106716774740944, 0.9358758347635885, 0.882341641603056, 0.9445296527976823, 0.8804008841154592, 0.6641202032931292, 0.7259522938860152, 0.8054714453733812, 0.7262999656842685, 0.6716857925670194, 0.7321012396532287]",41-60,Nam
